state,sdg,value,year,Murders per 1 lakh population
Uttar Pradesh,SDG 4,90.42,2015,90.42
Uttar Pradesh,SDG 4,34.83,2016,34.83
Uttar Pradesh,SDG 4,51.4,2017,51.4
Uttar Pradesh,SDG 4,78.37,2018,78.37
Uttar Pradesh,SDG 4,39.65,2019,39.65
Uttar Pradesh,SDG 4,62.21,2020,62.21
Uttar Pradesh,SDG 4,86.24,2021,86.24
Uttar Pradesh,SDG 4,94.95,2022,94.95
Uttar Pradesh,SDG 5,14.71,2015,14.71
Uttar Pradesh,SDG 5,92.66,2016,92.66
Uttar Pradesh,SDG 5,49.21,2017,49.21
Uttar Pradesh,SDG 5,25.82,2018,25.82
Uttar Pradesh,SDG 5,45.91,2019,45.91
Uttar Pradesh,SDG 5,98,2020,98
Uttar Pradesh,SDG 5,49.26,2021,49.26
Uttar Pradesh,SDG 5,32.88,2022,32.88
Uttar Pradesh,SDG 6,63.34,2015,63.34
Uttar Pradesh,SDG 6,24.01,2016,24.01
Uttar Pradesh,SDG 6,7.59,2017,7.59
Uttar Pradesh,SDG 6,12.89,2018,12.89
Uttar Pradesh,SDG 6,12.8,2019,12.8
Uttar Pradesh,SDG 6,15.19,2020,15.19
Uttar Pradesh,SDG 6,13.88,2021,13.88
Uttar Pradesh,SDG 6,64.09,2022,64.09
Uttar Pradesh,SDG 7,18.19,2015,18.19
Uttar Pradesh,SDG 7,34.57,2016,34.57
Uttar Pradesh,SDG 7,89.68,2017,89.68
Uttar Pradesh,SDG 7,47.4,2018,47.4
Uttar Pradesh,SDG 7,66.76,2019,66.76
Uttar Pradesh,SDG 7,17.23,2020,17.23
Uttar Pradesh,SDG 7,19.23,2021,19.23
Uttar Pradesh,SDG 7,4.09,2022,4.09
Uttar Pradesh,SDG 8,16.89,2015,16.89
Uttar Pradesh,SDG 8,27.86,2016,27.86
Uttar Pradesh,SDG 8,17.7,2017,17.7
Uttar Pradesh,SDG 8,8.87,2018,8.87
Uttar Pradesh,SDG 8,12.06,2019,12.06
Uttar Pradesh,SDG 8,46.08,2020,46.08
Uttar Pradesh,SDG 8,20.63,2021,20.63
Uttar Pradesh,SDG 8,36.43,2022,36.43
Uttar Pradesh,SDG 9,50.34,2015,50.34
Uttar Pradesh,SDG 9,69.04,2016,69.04
Uttar Pradesh,SDG 9,3.93,2017,3.93
Uttar Pradesh,SDG 9,79.94,2018,79.94
Uttar Pradesh,SDG 9,62.79,2019,62.79
Uttar Pradesh,SDG 9,8.18,2020,8.18
Uttar Pradesh,SDG 9,87.36,2021,87.36
Uttar Pradesh,SDG 9,92.09,2022,92.09
Uttar Pradesh,SDG 10,6.11,2015,6.11
Uttar Pradesh,SDG 10,27.69,2016,27.69
Uttar Pradesh,SDG 10,80.62,2017,80.62
Uttar Pradesh,SDG 10,74.83,2018,74.83
Uttar Pradesh,SDG 10,18.45,2019,18.45
Uttar Pradesh,SDG 10,20.93,2020,20.93
Uttar Pradesh,SDG 10,37.05,2021,37.05
Uttar Pradesh,SDG 10,48.45,2022,48.45
Uttar Pradesh,SDG 11,61.83,2015,61.83
Uttar Pradesh,SDG 11,36.89,2016,36.89
Uttar Pradesh,SDG 11,46.25,2017,46.25
Uttar Pradesh,SDG 11,74.75,2018,74.75
Uttar Pradesh,SDG 11,3.67,2019,3.67
Uttar Pradesh,SDG 11,25.24,2020,25.24
Uttar Pradesh,SDG 11,71.33,2021,71.33
Uttar Pradesh,SDG 11,89.52,2022,89.52
Uttar Pradesh,SDG 12,51.17,2015,51.17
Uttar Pradesh,SDG 12,53.21,2016,53.21
Uttar Pradesh,SDG 12,10.72,2017,10.72
Uttar Pradesh,SDG 12,44.74,2018,44.74
Uttar Pradesh,SDG 12,53.26,2019,53.26
Uttar Pradesh,SDG 12,24.25,2020,24.25
Uttar Pradesh,SDG 12,26.92,2021,26.92
Uttar Pradesh,SDG 12,37.73,2022,37.73
Uttar Pradesh,SDG 13,2.01,2015,2.01
Uttar Pradesh,SDG 13,32.21,2016,32.21
Uttar Pradesh,SDG 13,21.14,2017,21.14
Uttar Pradesh,SDG 13,32.75,2018,32.75
Uttar Pradesh,SDG 13,11.98,2019,11.98
Uttar Pradesh,SDG 13,89.05,2020,89.05
Uttar Pradesh,SDG 13,59.36,2021,59.36
Uttar Pradesh,SDG 13,67.91,2022,67.91
Uttar Pradesh,SDG 14,78.92,2015,78.92
Uttar Pradesh,SDG 14,49.84,2016,49.84
Uttar Pradesh,SDG 14,8.69,2017,8.69
Uttar Pradesh,SDG 14,53.71,2018,53.71
Uttar Pradesh,SDG 14,58.68,2019,58.68
Uttar Pradesh,SDG 14,74.54,2020,74.54
Uttar Pradesh,SDG 14,43.17,2021,43.17
Uttar Pradesh,SDG 14,12.76,2022,12.76
Uttar Pradesh,SDG 15,28.38,2015,28.38
Uttar Pradesh,SDG 15,36.31,2016,36.31
Uttar Pradesh,SDG 15,64.59,2017,64.59
Uttar Pradesh,SDG 15,57.08,2018,57.08
Uttar Pradesh,SDG 15,35.61,2019,35.61
Uttar Pradesh,SDG 15,98.65,2020,98.65
Uttar Pradesh,SDG 15,60.58,2021,60.58
Uttar Pradesh,SDG 15,23.72,2022,23.72
Uttar Pradesh,SDG 16,10.18,2015,10.18
Uttar Pradesh,SDG 16,15.29,2016,15.29
Uttar Pradesh,SDG 16,24.6,2017,24.6
Uttar Pradesh,SDG 16,16.07,2018,16.07
Uttar Pradesh,SDG 16,18.66,2019,18.66
Uttar Pradesh,SDG 16,28.51,2020,28.51
Uttar Pradesh,SDG 16,17.34,2021,17.34
Uttar Pradesh,SDG 16,89.68,2022,89.68
Uttar Pradesh,SDG 17,8.02,2015,8.02
Uttar Pradesh,SDG 17,52.45,2016,52.45
Uttar Pradesh,SDG 17,41.04,2017,41.04
Uttar Pradesh,SDG 17,98.24,2018,98.24
Uttar Pradesh,SDG 17,11.2,2019,11.2
Uttar Pradesh,SDG 17,39.79,2020,39.79
Uttar Pradesh,SDG 17,96.95,2021,96.95
Uttar Pradesh,SDG 17,86.55,2022,86.55
Tamil Nādu,SDG 1,81.71,2015,81.71
Tamil Nādu,SDG 1,25.79,2016,25.79
Tamil Nādu,SDG 1,17.09,2017,17.09
Tamil Nādu,SDG 1,66.86,2018,66.86
Tamil Nādu,SDG 1,92.94,2019,92.94
Tamil Nādu,SDG 1,55.68,2020,55.68
Tamil Nādu,SDG 1,57.16,2021,57.16
Tamil Nādu,SDG 1,28,2022,28
Tamil Nādu,SDG 2,76.95,2015,76.95
Tamil Nādu,SDG 2,18.7,2016,18.7
Tamil Nādu,SDG 2,32.37,2017,32.37
Tamil Nādu,SDG 2,42.54,2018,42.54
Tamil Nādu,SDG 2,50.76,2019,50.76
Tamil Nādu,SDG 2,24.24,2020,24.24
Tamil Nādu,SDG 2,11.48,2021,11.48
Tamil Nādu,SDG 2,61.06,2022,61.06
Tamil Nādu,SDG 3,28.86,2015,28.86
Tamil Nādu,SDG 3,58.12,2016,58.12
Tamil Nādu,SDG 3,15.44,2017,15.44
Tamil Nādu,SDG 3,48.11,2018,48.11
Tamil Nādu,SDG 3,53.26,2019,53.26
Tamil Nādu,SDG 3,5.18,2020,5.18
Tamil Nādu,SDG 3,33.66,2021,33.66
Tamil Nādu,SDG 3,13.44,2022,13.44
Tamil Nādu,SDG 4,6.34,2015,6.34
Tamil Nādu,SDG 4,99,2016,99
Tamil Nādu,SDG 4,32.24,2017,32.24
Tamil Nādu,SDG 4,80.99,2018,80.99
Tamil Nādu,SDG 4,25.46,2019,25.46
Tamil Nādu,SDG 4,68.15,2020,68.15
Tamil Nādu,SDG 4,76.02,2021,76.02
Tamil Nādu,SDG 4,59.56,2022,59.56
Tamil Nādu,SDG 5,47.16,2015,47.16
Tamil Nādu,SDG 5,41.18,2016,41.18
Tamil Nādu,SDG 5,34.89,2017,34.89
Tamil Nādu,SDG 5,92.95,2018,92.95
Tamil Nādu,SDG 5,83.06,2019,83.06
Tamil Nādu,SDG 5,96.5,2020,96.5
Tamil Nādu,SDG 5,12.43,2021,12.43
Tamil Nādu,SDG 5,73.09,2022,73.09
Tamil Nādu,SDG 6,93.83,2015,93.83
Tamil Nādu,SDG 6,18.12,2016,18.12
Tamil Nādu,SDG 6,6.65,2017,6.65
Tamil Nādu,SDG 6,74.11,2018,74.11
Tamil Nādu,SDG 6,57.45,2019,57.45
Tamil Nādu,SDG 6,84.18,2020,84.18
Tamil Nādu,SDG 6,13.98,2021,13.98
Tamil Nādu,SDG 6,79.53,2022,79.53
Tamil Nādu,SDG 7,20.16,2015,20.16
Tamil Nādu,SDG 7,16.37,2016,16.37
Tamil Nādu,SDG 7,16.43,2017,16.43
Tamil Nādu,SDG 7,81.46,2018,81.46
Tamil Nādu,SDG 7,66.52,2019,66.52
Tamil Nādu,SDG 7,52.31,2020,52.31
Tamil Nādu,SDG 7,35.88,2021,35.88
Tamil Nādu,SDG 7,87.72,2022,87.72
Tamil Nādu,SDG 8,39.24,2015,39.24
Tamil Nādu,SDG 8,81.66,2016,81.66
Tamil Nādu,SDG 8,43.91,2017,43.91
Tamil Nādu,SDG 8,37.69,2018,37.69
Tamil Nādu,SDG 8,46.27,2019,46.27
Tamil Nādu,SDG 8,30.14,2020,30.14
Tamil Nādu,SDG 8,74.76,2021,74.76
Tamil Nādu,SDG 8,50.27,2022,50.27
Tamil Nādu,SDG 9,23.22,2015,23.22
Tamil Nādu,SDG 9,89.96,2016,89.96
Tamil Nādu,SDG 9,38.39,2017,38.39
Tamil Nādu,SDG 9,54.36,2018,54.36
Tamil Nādu,SDG 9,90.65,2019,90.65
Tamil Nādu,SDG 9,62.42,2020,62.42
Tamil Nādu,SDG 9,11.69,2021,11.69
Tamil Nādu,SDG 9,93.98,2022,93.98
Tamil Nādu,SDG 10,62.77,2015,62.77
Tamil Nādu,SDG 10,33.49,2016,33.49
Tamil Nādu,SDG 10,13.93,2017,13.93
Tamil Nādu,SDG 10,79.4,2018,79.4
Tamil Nādu,SDG 10,62.01,2019,62.01
Tamil Nādu,SDG 10,53.35,2020,53.35
Tamil Nādu,SDG 10,89.39,2021,89.39
Tamil Nādu,SDG 10,78.86,2022,78.86
Tamil Nādu,SDG 11,15.17,2015,15.17
Tamil Nādu,SDG 11,31.17,2016,31.17
Tamil Nādu,SDG 11,24.85,2017,24.85
Tamil Nādu,SDG 11,74.39,2018,74.39
Tamil Nādu,SDG 11,3.35,2019,3.35
Tamil Nādu,SDG 11,56.99,2020,56.99
Tamil Nādu,SDG 11,76.25,2021,76.25
Tamil Nādu,SDG 11,87.68,2022,87.68
Tamil Nādu,SDG 12,34.21,2015,34.21
Tamil Nādu,SDG 12,82.13,2016,82.13
Tamil Nādu,SDG 12,11.06,2017,11.06
Tamil Nādu,SDG 12,84.65,2018,84.65
Tamil Nādu,SDG 12,12.75,2019,12.75
Tamil Nādu,SDG 12,39.73,2020,39.73
Tamil Nādu,SDG 12,79.73,2021,79.73
Tamil Nādu,SDG 12,14.99,2022,14.99
Tamil Nādu,SDG 13,22.93,2015,22.93
Tamil Nādu,SDG 13,72.23,2016,72.23
Tamil Nādu,SDG 13,72,2017,72
Tamil Nādu,SDG 13,64.11,2018,64.11
Tamil Nādu,SDG 13,69.39,2019,69.39
Tamil Nādu,SDG 13,54.27,2020,54.27
Tamil Nādu,SDG 13,25.18,2021,25.18
Tamil Nādu,SDG 13,34.57,2022,34.57
Tamil Nādu,SDG 14,18.16,2015,18.16
Tamil Nādu,SDG 14,90.85,2016,90.85
Tamil Nādu,SDG 14,58.34,2017,58.34
Tamil Nādu,SDG 14,40.09,2018,40.09
Tamil Nādu,SDG 14,46.2,2019,46.2
Tamil Nādu,SDG 14,94.73,2020,94.73
Tamil Nādu,SDG 14,15.34,2021,15.34
Tamil Nādu,SDG 14,58.62,2022,58.62
Tamil Nādu,SDG 15,50.59,2015,50.59
Tamil Nādu,SDG 15,61.15,2016,61.15
Tamil Nādu,SDG 15,1.81,2017,1.81
Tamil Nādu,SDG 15,87.21,2018,87.21
Tamil Nādu,SDG 15,93.21,2019,93.21
Tamil Nādu,SDG 15,56.51,2020,56.51
Tamil Nādu,SDG 15,69.67,2021,69.67
Tamil Nādu,SDG 15,92.25,2022,92.25
Tamil Nādu,SDG 16,70.72,2015,70.72
Tamil Nādu,SDG 16,15.25,2016,15.25
Tamil Nādu,SDG 16,57.63,2017,57.63
Tamil Nādu,SDG 16,60.67,2018,60.67
Tamil Nādu,SDG 16,42.41,2019,42.41
Tamil Nādu,SDG 16,73.64,2020,73.64
Tamil Nādu,SDG 16,93.44,2021,93.44
Tamil Nādu,SDG 16,92.56,2022,92.56
Tamil Nādu,SDG 17,45.08,2015,45.08
Tamil Nādu,SDG 17,11.32,2016,11.32
Tamil Nādu,SDG 17,98.48,2017,98.48
Tamil Nādu,SDG 17,83.89,2018,83.89
Tamil Nādu,SDG 17,12.47,2019,12.47
Tamil Nādu,SDG 17,92.08,2020,92.08
Tamil Nādu,SDG 17,86.99,2021,86.99
Tamil Nādu,SDG 17,51.88,2022,51.88
Chhattīsgarh,SDG 1,59.13,2015,59.13
Chhattīsgarh,SDG 1,39.9,2016,39.9
Chhattīsgarh,SDG 1,5.48,2017,5.48
Chhattīsgarh,SDG 1,33.52,2018,33.52
Chhattīsgarh,SDG 1,80.29,2019,80.29
Chhattīsgarh,SDG 1,0.46,2020,0.46
Chhattīsgarh,SDG 1,33.35,2021,33.35
Chhattīsgarh,SDG 1,39.82,2022,39.82
Chhattīsgarh,SDG 2,53.74,2015,53.74
Chhattīsgarh,SDG 2,91.99,2016,91.99
Chhattīsgarh,SDG 2,34.63,2017,34.63
Chhattīsgarh,SDG 2,34.7,2018,34.7
Chhattīsgarh,SDG 2,73.75,2019,73.75
Chhattīsgarh,SDG 2,45.22,2020,45.22
Chhattīsgarh,SDG 2,22.46,2021,22.46
Chhattīsgarh,SDG 2,45.24,2022,45.24
Chhattīsgarh,SDG 3,14.09,2015,14.09
Chhattīsgarh,SDG 3,17.64,2016,17.64
Chhattīsgarh,SDG 3,49.84,2017,49.84
Chhattīsgarh,SDG 3,41.89,2018,41.89
Chhattīsgarh,SDG 3,91.48,2019,91.48
Chhattīsgarh,SDG 3,36.24,2020,36.24
Chhattīsgarh,SDG 3,58.06,2021,58.06
Chhattīsgarh,SDG 3,63.23,2022,63.23
Chhattīsgarh,SDG 4,1.31,2015,1.31
Chhattīsgarh,SDG 4,66.35,2016,66.35
Chhattīsgarh,SDG 4,17.8,2017,17.8
Chhattīsgarh,SDG 4,96.11,2018,96.11
Chhattīsgarh,SDG 4,14.87,2019,14.87
Chhattīsgarh,SDG 4,41.46,2020,41.46
Chhattīsgarh,SDG 4,8.53,2021,8.53
Chhattīsgarh,SDG 4,99.69,2022,99.69
Chhattīsgarh,SDG 5,50.22,2015,50.22
Chhattīsgarh,SDG 5,59.54,2016,59.54
Chhattīsgarh,SDG 5,6.71,2017,6.71
Chhattīsgarh,SDG 5,75,2018,75
Chhattīsgarh,SDG 5,20.99,2019,20.99
Chhattīsgarh,SDG 5,89.81,2020,89.81
Chhattīsgarh,SDG 5,20.51,2021,20.51
Chhattīsgarh,SDG 5,19.07,2022,19.07
Chhattīsgarh,SDG 6,3.65,2015,3.65
Chhattīsgarh,SDG 6,47.21,2016,47.21
Chhattīsgarh,SDG 6,56.48,2017,56.48
Chhattīsgarh,SDG 6,6.57,2018,6.57
Chhattīsgarh,SDG 6,77.55,2019,77.55
Chhattīsgarh,SDG 6,45.33,2020,45.33
Chhattīsgarh,SDG 6,52.44,2021,52.44
Chhattīsgarh,SDG 6,44.08,2022,44.08
Chhattīsgarh,SDG 7,40.08,2015,40.08
Chhattīsgarh,SDG 7,55.96,2016,55.96
Chhattīsgarh,SDG 7,15.52,2017,15.52
Chhattīsgarh,SDG 7,18.19,2018,18.19
Chhattīsgarh,SDG 7,86.18,2019,86.18
Chhattīsgarh,SDG 7,94.61,2020,94.61
Chhattīsgarh,SDG 7,37.33,2021,37.33
Chhattīsgarh,SDG 7,27.07,2022,27.07
Chhattīsgarh,SDG 8,64.4,2015,64.4
Chhattīsgarh,SDG 8,40.87,2016,40.87
Chhattīsgarh,SDG 8,2.54,2017,2.54
Chhattīsgarh,SDG 8,15.62,2018,15.62
Chhattīsgarh,SDG 8,71.6,2019,71.6
Chhattīsgarh,SDG 8,65.89,2020,65.89
Chhattīsgarh,SDG 8,2.71,2021,2.71
Chhattīsgarh,SDG 8,22.2,2022,22.2
Chhattīsgarh,SDG 9,23.11,2015,23.11
Chhattīsgarh,SDG 9,67.19,2016,67.19
Chhattīsgarh,SDG 9,1.97,2017,1.97
Chhattīsgarh,SDG 9,10.41,2018,10.41
Chhattīsgarh,SDG 9,79.99,2019,79.99
Chhattīsgarh,SDG 9,17.85,2020,17.85
Chhattīsgarh,SDG 9,65.27,2021,65.27
Chhattīsgarh,SDG 9,23.82,2022,23.82
Chhattīsgarh,SDG 10,9.94,2015,9.94
Chhattīsgarh,SDG 10,24.32,2016,24.32
Chhattīsgarh,SDG 10,72.23,2017,72.23
Chhattīsgarh,SDG 10,85.57,2018,85.57
Chhattīsgarh,SDG 10,83.02,2019,83.02
Chhattīsgarh,SDG 10,39.72,2020,39.72
Chhattīsgarh,SDG 10,66.81,2021,66.81
Chhattīsgarh,SDG 10,20.5,2022,20.5
Chhattīsgarh,SDG 11,29.31,2015,29.31
Chhattīsgarh,SDG 11,89.63,2016,89.63
Chhattīsgarh,SDG 11,1.3,2017,1.3
Chhattīsgarh,SDG 11,8.55,2018,8.55
Chhattīsgarh,SDG 11,20.79,2019,20.79
Chhattīsgarh,SDG 11,2.65,2020,2.65
Chhattīsgarh,SDG 11,18.14,2021,18.14
Chhattīsgarh,SDG 11,58.3,2022,58.3
Chhattīsgarh,SDG 12,42.14,2015,42.14
Chhattīsgarh,SDG 12,89.27,2016,89.27
Chhattīsgarh,SDG 12,81.74,2017,81.74
Chhattīsgarh,SDG 12,34.18,2018,34.18
Chhattīsgarh,SDG 12,25.94,2019,25.94
Chhattīsgarh,SDG 12,37.97,2020,37.97
Chhattīsgarh,SDG 12,59.03,2021,59.03
Chhattīsgarh,SDG 12,26.81,2022,26.81
Chhattīsgarh,SDG 13,62.41,2015,62.41
Chhattīsgarh,SDG 13,40.94,2016,40.94
Chhattīsgarh,SDG 13,55.2,2017,55.2
Chhattīsgarh,SDG 13,43.61,2018,43.61
Chhattīsgarh,SDG 13,29.45,2019,29.45
Chhattīsgarh,SDG 13,94.85,2020,94.85
Chhattīsgarh,SDG 13,76.36,2021,76.36
Chhattīsgarh,SDG 13,14.01,2022,14.01
Chhattīsgarh,SDG 14,86.85,2015,86.85
Chhattīsgarh,SDG 14,48.74,2016,48.74
Chhattīsgarh,SDG 14,89.46,2017,89.46
Chhattīsgarh,SDG 14,79.99,2018,79.99
Chhattīsgarh,SDG 14,42.52,2019,42.52
Chhattīsgarh,SDG 14,2.25,2020,2.25
Chhattīsgarh,SDG 14,26.87,2021,26.87
Chhattīsgarh,SDG 14,54.16,2022,54.16
Chhattīsgarh,SDG 15,63.35,2015,63.35
Chhattīsgarh,SDG 15,25.79,2016,25.79
Chhattīsgarh,SDG 15,13.94,2017,13.94
Chhattīsgarh,SDG 15,83.49,2018,83.49
Chhattīsgarh,SDG 15,98.44,2019,98.44
Chhattīsgarh,SDG 15,52.57,2020,52.57
Chhattīsgarh,SDG 15,17.17,2021,17.17
Chhattīsgarh,SDG 15,27.23,2022,27.23
Chhattīsgarh,SDG 16,1.84,2015,1.84
Chhattīsgarh,SDG 16,91.43,2016,91.43
Chhattīsgarh,SDG 16,11.78,2017,11.78
Chhattīsgarh,SDG 16,57.65,2018,57.65
Chhattīsgarh,SDG 16,27.41,2019,27.41
Chhattīsgarh,SDG 16,55.42,2020,55.42
Chhattīsgarh,SDG 16,65.14,2021,65.14
Chhattīsgarh,SDG 16,82.97,2022,82.97
Chhattīsgarh,SDG 17,20.64,2015,20.64
Chhattīsgarh,SDG 17,1.1,2016,1.1
Chhattīsgarh,SDG 17,13.69,2017,13.69
Chhattīsgarh,SDG 17,90,2018,90
Chhattīsgarh,SDG 17,87.39,2019,87.39
Chhattīsgarh,SDG 17,59.74,2020,59.74
Chhattīsgarh,SDG 17,60.05,2021,60.05
Chhattīsgarh,SDG 17,66.5,2022,66.5
Gujarāt,SDG 1,17.54,2015,17.54
Gujarāt,SDG 1,91.44,2016,91.44
Gujarāt,SDG 1,41.88,2017,41.88
Gujarāt,SDG 1,38.31,2018,38.31
Gujarāt,SDG 1,51.89,2019,51.89
Gujarāt,SDG 1,4.7,2020,4.7
Gujarāt,SDG 1,16.63,2021,16.63
Gujarāt,SDG 1,73.8,2022,73.8
Gujarāt,SDG 2,8.28,2015,8.28
Gujarāt,SDG 2,60.32,2016,60.32
Gujarāt,SDG 2,24.53,2017,24.53
Gujarāt,SDG 2,38.93,2018,38.93
Gujarāt,SDG 2,28.87,2019,28.87
Gujarāt,SDG 2,35.57,2020,35.57
Gujarāt,SDG 2,71.9,2021,71.9
Gujarāt,SDG 2,29.71,2022,29.71
Gujarāt,SDG 3,56.64,2015,56.64
Gujarāt,SDG 3,47.61,2016,47.61
Gujarāt,SDG 3,66.37,2017,66.37
Gujarāt,SDG 3,93.68,2018,93.68
Gujarāt,SDG 3,73.26,2019,73.26
Gujarāt,SDG 3,21.49,2020,21.49
Gujarāt,SDG 3,3.12,2021,3.12
Gujarāt,SDG 3,26.23,2022,26.23
Gujarāt,SDG 4,59.51,2015,59.51
Gujarāt,SDG 4,5.14,2016,5.14
Gujarāt,SDG 4,49.64,2017,49.64
Gujarāt,SDG 4,59.68,2018,59.68
Gujarāt,SDG 4,33.42,2019,33.42
Gujarāt,SDG 4,77.09,2020,77.09
Gujarāt,SDG 4,10.66,2021,10.66
Gujarāt,SDG 4,7.51,2022,7.51
Gujarāt,SDG 5,72.82,2015,72.82
Gujarāt,SDG 5,49.55,2016,49.55
Gujarāt,SDG 5,68.84,2017,68.84
Gujarāt,SDG 5,43.48,2018,43.48
Gujarāt,SDG 5,24.64,2019,24.64
Gujarāt,SDG 5,81.91,2020,81.91
Gujarāt,SDG 5,79.94,2021,79.94
Gujarāt,SDG 5,69.47,2022,69.47
Gujarāt,SDG 6,27.21,2015,27.21
Gujarāt,SDG 6,59.02,2016,59.02
Gujarāt,SDG 6,36.1,2017,36.1
Gujarāt,SDG 6,9.16,2018,9.16
Gujarāt,SDG 6,91.73,2019,91.73
Gujarāt,SDG 6,13.68,2020,13.68
Gujarāt,SDG 6,95.02,2021,95.02
Gujarāt,SDG 6,44.6,2022,44.6
Gujarāt,SDG 7,18.51,2015,18.51
Gujarāt,SDG 7,54.19,2016,54.19
Gujarāt,SDG 7,87.29,2017,87.29
Gujarāt,SDG 7,73.22,2018,73.22
Gujarāt,SDG 7,80.66,2019,80.66
Gujarāt,SDG 7,65.88,2020,65.88
Gujarāt,SDG 7,69.23,2021,69.23
Gujarāt,SDG 7,84.92,2022,84.92
Gujarāt,SDG 8,24.97,2015,24.97
Gujarāt,SDG 8,48.94,2016,48.94
Gujarāt,SDG 8,22.12,2017,22.12
Gujarāt,SDG 8,98.77,2018,98.77
Gujarāt,SDG 8,94.41,2019,94.41
Gujarāt,SDG 8,3.94,2020,3.94
Gujarāt,SDG 8,70.56,2021,70.56
Gujarāt,SDG 8,92.52,2022,92.52
Gujarāt,SDG 9,18.06,2015,18.06
Gujarāt,SDG 9,56.79,2016,56.79
Gujarāt,SDG 9,91.55,2017,91.55
Gujarāt,SDG 9,3.39,2018,3.39
Gujarāt,SDG 9,69.74,2019,69.74
Gujarāt,SDG 9,29.73,2020,29.73
Gujarāt,SDG 9,92.44,2021,92.44
Gujarāt,SDG 9,97.11,2022,97.11
Gujarāt,SDG 10,94.43,2015,94.43
Gujarāt,SDG 10,47.42,2016,47.42
Gujarāt,SDG 10,86.2,2017,86.2
Gujarāt,SDG 10,84.45,2018,84.45
Gujarāt,SDG 10,31.91,2019,31.91
Gujarāt,SDG 10,82.89,2020,82.89
Gujarāt,SDG 10,3.7,2021,3.7
Gujarāt,SDG 10,59.63,2022,59.63
Gujarāt,SDG 11,23,2015,23
Gujarāt,SDG 11,12.06,2016,12.06
Gujarāt,SDG 11,7.7,2017,7.7
Gujarāt,SDG 11,69.63,2018,69.63
Gujarāt,SDG 11,33.99,2019,33.99
Gujarāt,SDG 11,72.48,2020,72.48
Gujarāt,SDG 11,6.54,2021,6.54
Gujarāt,SDG 11,31.53,2022,31.53
Gujarāt,SDG 12,53.95,2015,53.95
Gujarāt,SDG 12,79.07,2016,79.07
Gujarāt,SDG 12,31.88,2017,31.88
Gujarāt,SDG 12,62.59,2018,62.59
Gujarāt,SDG 12,88.6,2019,88.6
Gujarāt,SDG 12,61.59,2020,61.59
Gujarāt,SDG 12,23.3,2021,23.3
Gujarāt,SDG 12,2.44,2022,2.44
Gujarāt,SDG 13,87.01,2015,87.01
Gujarāt,SDG 13,2.13,2016,2.13
Gujarāt,SDG 13,87.47,2017,87.47
Gujarāt,SDG 13,52.89,2018,52.89
Gujarāt,SDG 13,93.91,2019,93.91
Gujarāt,SDG 13,79.88,2020,79.88
Gujarāt,SDG 13,99.79,2021,99.79
Gujarāt,SDG 13,35.07,2022,35.07
Gujarāt,SDG 14,76.72,2015,76.72
Gujarāt,SDG 14,40.19,2016,40.19
Gujarāt,SDG 14,47.99,2017,47.99
Gujarāt,SDG 14,62.75,2018,62.75
Gujarāt,SDG 14,87.37,2019,87.37
Gujarāt,SDG 14,98.41,2020,98.41
Gujarāt,SDG 14,76.83,2021,76.83
Gujarāt,SDG 14,41.78,2022,41.78
Gujarāt,SDG 15,42.14,2015,42.14
Gujarāt,SDG 15,73.76,2016,73.76
Gujarāt,SDG 15,23.88,2017,23.88
Gujarāt,SDG 15,11.05,2018,11.05
Gujarāt,SDG 15,35.46,2019,35.46
Gujarāt,SDG 15,28.72,2020,28.72
Gujarāt,SDG 15,29.63,2021,29.63
Gujarāt,SDG 15,23.36,2022,23.36
Gujarāt,SDG 16,4.21,2015,4.21
Gujarāt,SDG 16,1.79,2016,1.79
Gujarāt,SDG 16,98.77,2017,98.77
Gujarāt,SDG 16,42.78,2018,42.78
Gujarāt,SDG 16,38.43,2019,38.43
Gujarāt,SDG 16,67.96,2020,67.96
Gujarāt,SDG 16,21.83,2021,21.83
Gujarāt,SDG 16,95,2022,95
Gujarāt,SDG 17,78.63,2015,78.63
Gujarāt,SDG 17,8.94,2016,8.94
Gujarāt,SDG 17,41.76,2017,41.76
Gujarāt,SDG 17,87.91,2018,87.91
Gujarāt,SDG 17,94.47,2019,94.47
Gujarāt,SDG 17,46.74,2020,46.74
Gujarāt,SDG 17,61.34,2021,61.34
Gujarāt,SDG 17,16.7,2022,16.7
Delhi,SDG 1,99.12,2015,99.12
Delhi,SDG 1,23.17,2016,23.17
Delhi,SDG 1,94.27,2017,94.27
Delhi,SDG 1,64.96,2018,64.96
Delhi,SDG 1,60.77,2019,60.77
Delhi,SDG 1,51.27,2020,51.27
Delhi,SDG 1,23.07,2021,23.07
Delhi,SDG 1,17.65,2022,17.65
Delhi,SDG 2,22.05,2015,22.05
Delhi,SDG 2,18.64,2016,18.64
Delhi,SDG 2,77.96,2017,77.96
Delhi,SDG 2,35.01,2018,35.01
Delhi,SDG 2,5.78,2019,5.78
Delhi,SDG 2,96.91,2020,96.91
Delhi,SDG 2,88.38,2021,88.38
Delhi,SDG 2,92.78,2022,92.78
Delhi,SDG 3,99.49,2015,99.49
Delhi,SDG 3,17.39,2016,17.39
Delhi,SDG 3,39.62,2017,39.62
Delhi,SDG 3,75.82,2018,75.82
Delhi,SDG 3,69.6,2019,69.6
Delhi,SDG 3,15.39,2020,15.39
Delhi,SDG 3,81.58,2021,81.58
